Master process running on gpu16
Directory is /data/sgoswam4/Time-stepper/FitzHugh-Nagumo/fno_multiparameter
Starting execution at Tue Nov 26 18:01:26 EST 2024
Current PATH is /data/apps/linux-centos8-cascadelake/gcc-9.3.0/git-2.28.0-uh6lz2zi2m3rwkfujclkz2qrtm6awu6s/bin:/data/apps/linux-centos8-cascadelake/gcc-9.3.0/openmpi-3.1.6-rk3nyoehbq3pke4zy4hn7unns3ujtutx/bin:/data/apps/linux-centos8-cascadelake/gcc-9.2.0/gcc-9.3.0-bnvby67rgbqevwsd264rgz44xucnkhpm/bin:/data/apps/extern/python/envs/jupyterlab/3.4.5/bin:/data/apps/extern/spack_on/gcc/9.3.0/lua/5.4.4-njaqalolk5jksjkvmuvz5dz3hsfkzofi/bin:/data/apps/helpers:/cm/shared/apps/slurm/current/sbin:/cm/shared/apps/slurm/current/bin:/home/sgoswam4/.local/bin:/home/sgoswam4/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin
Epoch: 82, time: 3.963, Train Loss: 3.580e-02, Test Loss: 0.0000
Epoch: 83, time: 3.871, Train Loss: 3.564e-02, Test Loss: 0.0000
Epoch: 84, time: 3.955, Train Loss: 3.549e-02, Test Loss: 0.0000
Epoch: 85, time: 3.952, Train Loss: 3.535e-02, Test Loss: 0.0000
Epoch: 86, time: 3.877, Train Loss: 3.521e-02, Test Loss: 0.0000
Epoch: 87, time: 3.927, Train Loss: 3.505e-02, Test Loss: 0.0000
Epoch: 88, time: 3.927, Train Loss: 3.489e-02, Test Loss: 0.0000
Epoch: 89, time: 3.890, Train Loss: 3.471e-02, Test Loss: 0.0000
Epoch: 90, time: 3.982, Train Loss: 3.454e-02, Test Loss: 0.0000
Epoch: 91, time: 3.938, Train Loss: 3.438e-02, Test Loss: 0.0000
Epoch: 92, time: 3.968, Train Loss: 3.422e-02, Test Loss: 0.0000
Epoch: 93, time: 3.951, Train Loss: 3.407e-02, Test Loss: 0.0000
Epoch: 94, time: 3.883, Train Loss: 3.394e-02, Test Loss: 0.0000
Epoch: 95, time: 3.943, Train Loss: 3.381e-02, Test Loss: 0.0000
Epoch: 96, time: 3.951, Train Loss: 3.368e-02, Test Loss: 0.0000
Epoch: 97, time: 3.881, Train Loss: 3.354e-02, Test Loss: 0.0000
Epoch: 98, time: 3.966, Train Loss: 3.341e-02, Test Loss: 0.0000
Epoch: 99, time: 3.909, Train Loss: 3.327e-02, Test Loss: 0.0000
Epoch: 100, time: 3.928, Train Loss: 3.312e-02, Test Loss: 0.0000
Epoch: 101, time: 3.935, Train Loss: 3.305e-02, Test Loss: 0.0000
Epoch: 102, time: 3.860, Train Loss: 3.297e-02, Test Loss: 0.0000
Epoch: 103, time: 3.942, Train Loss: 3.290e-02, Test Loss: 0.0000
Epoch: 104, time: 3.937, Train Loss: 3.283e-02, Test Loss: 0.0000
Epoch: 105, time: 3.888, Train Loss: 3.276e-02, Test Loss: 0.0000
Epoch: 106, time: 3.945, Train Loss: 3.269e-02, Test Loss: 0.0000
Epoch: 107, time: 3.930, Train Loss: 3.262e-02, Test Loss: 0.0000
Epoch: 108, time: 3.922, Train Loss: 3.255e-02, Test Loss: 0.0000
Epoch: 109, time: 3.979, Train Loss: 3.249e-02, Test Loss: 0.0000
Epoch: 110, time: 3.896, Train Loss: 3.242e-02, Test Loss: 0.0000
Epoch: 111, time: 3.988, Train Loss: 3.236e-02, Test Loss: 0.0000
Epoch: 112, time: 3.948, Train Loss: 3.229e-02, Test Loss: 0.0000
Epoch: 113, time: 3.883, Train Loss: 3.223e-02, Test Loss: 0.0000
Epoch: 114, time: 3.930, Train Loss: 3.216e-02, Test Loss: 0.0000
Epoch: 115, time: 3.967, Train Loss: 3.209e-02, Test Loss: 0.0000
Epoch: 116, time: 3.885, Train Loss: 3.202e-02, Test Loss: 0.0000
Epoch: 117, time: 3.950, Train Loss: 3.195e-02, Test Loss: 0.0000
Epoch: 118, time: 3.865, Train Loss: 3.189e-02, Test Loss: 0.0000
Epoch: 119, time: 3.941, Train Loss: 3.182e-02, Test Loss: 0.0000
Epoch: 120, time: 3.990, Train Loss: 3.175e-02, Test Loss: 0.0000
Epoch: 121, time: 3.869, Train Loss: 3.168e-02, Test Loss: 0.0000
Epoch: 122, time: 3.972, Train Loss: 3.162e-02, Test Loss: 0.0000
Epoch: 123, time: 3.993, Train Loss: 3.155e-02, Test Loss: 0.0000
Epoch: 124, time: 3.887, Train Loss: 3.148e-02, Test Loss: 0.0000
Epoch: 125, time: 3.957, Train Loss: 3.142e-02, Test Loss: 0.0000
Epoch: 126, time: 3.926, Train Loss: 3.135e-02, Test Loss: 0.0000
Epoch: 127, time: 3.904, Train Loss: 3.128e-02, Test Loss: 0.0000
Epoch: 128, time: 3.942, Train Loss: 3.122e-02, Test Loss: 0.0000
Epoch: 129, time: 3.871, Train Loss: 3.115e-02, Test Loss: 0.0000
Epoch: 130, time: 3.940, Train Loss: 3.108e-02, Test Loss: 0.0000
Epoch: 131, time: 3.952, Train Loss: 3.101e-02, Test Loss: 0.0000
Epoch: 132, time: 3.908, Train Loss: 3.095e-02, Test Loss: 0.0000
Epoch: 133, time: 3.994, Train Loss: 3.088e-02, Test Loss: 0.0000
Epoch: 134, time: 3.926, Train Loss: 3.082e-02, Test Loss: 0.0000
Epoch: 135, time: 3.899, Train Loss: 3.075e-02, Test Loss: 0.0000
Epoch: 136, time: 3.962, Train Loss: 3.068e-02, Test Loss: 0.0000
Epoch: 137, time: 3.864, Train Loss: 3.062e-02, Test Loss: 0.0000
Epoch: 138, time: 3.933, Train Loss: 3.055e-02, Test Loss: 0.0000
Epoch: 139, time: 3.981, Train Loss: 3.049e-02, Test Loss: 0.0000
Epoch: 140, time: 3.889, Train Loss: 3.042e-02, Test Loss: 0.0000
Epoch: 141, time: 3.978, Train Loss: 3.036e-02, Test Loss: 0.0000
Epoch: 142, time: 3.954, Train Loss: 3.029e-02, Test Loss: 0.0000
Epoch: 143, time: 3.867, Train Loss: 3.023e-02, Test Loss: 0.0000
Epoch: 144, time: 3.939, Train Loss: 3.017e-02, Test Loss: 0.0000
Epoch: 145, time: 3.966, Train Loss: 3.010e-02, Test Loss: 0.0000
Epoch: 146, time: 3.915, Train Loss: 3.004e-02, Test Loss: 0.0000
Epoch: 147, time: 3.933, Train Loss: 2.998e-02, Test Loss: 0.0000
Epoch: 148, time: 3.867, Train Loss: 2.991e-02, Test Loss: 0.0000
Epoch: 149, time: 3.942, Train Loss: 2.985e-02, Test Loss: 0.0000
Epoch: 150, time: 3.966, Train Loss: 2.979e-02, Test Loss: 0.0000
Epoch: 151, time: 3.867, Train Loss: 2.976e-02, Test Loss: 0.0000
Epoch: 152, time: 3.925, Train Loss: 2.973e-02, Test Loss: 0.0000
Epoch: 153, time: 3.948, Train Loss: 2.970e-02, Test Loss: 0.0000
Epoch: 154, time: 3.871, Train Loss: 2.967e-02, Test Loss: 0.0000
Epoch: 155, time: 3.982, Train Loss: 2.964e-02, Test Loss: 0.0000
Epoch: 156, time: 3.865, Train Loss: 2.961e-02, Test Loss: 0.0000
Epoch: 157, time: 3.937, Train Loss: 2.958e-02, Test Loss: 0.0000
Epoch: 158, time: 3.960, Train Loss: 2.955e-02, Test Loss: 0.0000
Epoch: 159, time: 3.916, Train Loss: 2.952e-02, Test Loss: 0.0000
Epoch: 160, time: 3.999, Train Loss: 2.949e-02, Test Loss: 0.0000
Epoch: 161, time: 3.962, Train Loss: 2.946e-02, Test Loss: 0.0000
Epoch: 162, time: 3.886, Train Loss: 2.943e-02, Test Loss: 0.0000
Epoch: 163, time: 3.932, Train Loss: 2.940e-02, Test Loss: 0.0000
Epoch: 164, time: 3.938, Train Loss: 2.937e-02, Test Loss: 0.0000
Epoch: 165, time: 3.907, Train Loss: 2.934e-02, Test Loss: 0.0000
Epoch: 166, time: 3.988, Train Loss: 2.931e-02, Test Loss: 0.0000
Epoch: 167, time: 3.875, Train Loss: 2.928e-02, Test Loss: 0.0000
Epoch: 168, time: 3.946, Train Loss: 2.925e-02, Test Loss: 0.0000
Epoch: 169, time: 3.949, Train Loss: 2.923e-02, Test Loss: 0.0000
Epoch: 170, time: 3.857, Train Loss: 2.920e-02, Test Loss: 0.0000
Epoch: 171, time: 3.932, Train Loss: 2.917e-02, Test Loss: 0.0000
Epoch: 172, time: 3.942, Train Loss: 2.914e-02, Test Loss: 0.0000
Epoch: 173, time: 3.873, Train Loss: 2.911e-02, Test Loss: 0.0000
Epoch: 174, time: 3.936, Train Loss: 2.909e-02, Test Loss: 0.0000
Epoch: 175, time: 3.866, Train Loss: 2.906e-02, Test Loss: 0.0000
Epoch: 176, time: 3.978, Train Loss: 2.903e-02, Test Loss: 0.0000
Epoch: 177, time: 3.939, Train Loss: 2.900e-02, Test Loss: 0.0000
Epoch: 178, time: 3.875, Train Loss: 2.897e-02, Test Loss: 0.0000
